x,y,0,v,w,t
5.636264773739919,5.919800949189758,0.4462371901764967,0.3919182252708317,-0.37761646208898436,2.40269475574657
5.65896005570899,5.929970554855407,0.4212672507288768,0.37262551971063823,-0.3741290140847548,2.4694362767395304
5.680820111023889,5.939123270958308,0.39651894622928935,0.35508365774502815,-0.3708082185030095,2.5361777977324906
5.701913554650416,5.947352759523642,0.37198138998125163,0.3392483191372103,-0.36765054021797594,2.602919318725451
5.722311923353174,5.954744327890722,0.3476439134674291,0.3250792524580266,-0.3646527102129296,2.669660839718411
5.742089365193978,5.96137518814132,0.3234960552045448,0.3125404147672989,-0.36181162646001275,2.7364023607113714
5.761322379424844,5.967314702070814,0.2995275553449547,0.30160009273905314,-0.35912426781691165,2.8031438817043317
5.780089602125052,5.972624608388584,0.27572835527915895,0.2922310084574158,-0.3565876190969617,2.869885402697292
5.798471633115055,5.977359229305429,0.25208860160103697,0.28441041262801103,-0.3541986057016809,2.9366269236902522
5.816550899857225,5.981565654086882,0.2285986538907238,0.2781201675894287,-0.35195403642037104,3.0033684446832125
5.834411554225789,5.9852838975283955,0.2052490958497979,0.27334682221893525,-0.3498505532018515,3.070109965676173
5.852139398196207,5.988547031646746,0.1820307493907274,0.2700816805863629,-0.34788458689027835,3.136851486669133
5.869821834668032,5.991381289186462,0.15893469133811325,0.2683208660103795,-0.34605231809213216,3.2035930076620933
5.887547839795376,5.993806137814697,0.13595227244383473,0.26806538200653346,-0.34434964250660716,3.2703345286550536
5.905407953355933,5.995834324126785,0.11307513845229374,0.26932117148337903,-0.3427721402086227,3.337076049648014
5.92349428384419,5.997471886811108,0.09029525297599005,0.2720991754398138,-0.3413150485243111,3.403817570640974
5.941900525127999,5.998718138528891,0.06760492195594821,0.27641539234282647,-0.3399732382849079,3.4705590916339344
5.960721981661907,5.99956561625484,0.04499681948624129,0.2822909393202879,-0.3387411933882471,3.5373006126268947
5.980055599407343,6.0,0.022464014777090074,0.2897521162889256,-0.33761299373928405,3.604042133619855
6.0,6.0,0.012158155249577095,-5.739718509874451e-42,0.17038494449471833,3.6753991146350056
6.035655270185454,6.001287027281526,0.036080745809702545,0.500000009097326,0.33525227973204463,3.746756095650156
6.0712716728109735,6.0033909742193625,0.0590038470454063,0.500000008602285,0.32124539056433327,3.8181130766653064
6.106833230827645,6.006277203676528,0.08098399417326448,0.5000000086714288,0.3080307885109566,3.889470057680457
6.142326011678093,6.00991275540113,0.10207473974490004,0.5000000086297335,0.29556667436865874,3.9608270386956077
6.1777378917636225,6.014266314579673,0.1223268050909308,0.5000000086047534,0.28381337127660744,4.032184019710758
6.213058344879263,6.019308171406774,0.14178822798859037,0.5000000085745406,0.27273327179477386,4.103541000725909
6.248278252528685,6.025010173999229,0.16050450581078526,0.5000000085429298,0.2622907745805702,4.17489798174106
6.283389734063607,6.0313456765562,0.17851873361509057,0.5000000085092214,0.25245221347692015,4.246254962756209
6.318385994747564,6.038289484314572,0.195871736801307,0.5000000084734976,0.24318578139582495,4.31761194377136
6.353261189983156,6.045817796551151,0.21260219810416148,0.5000000084356925,0.23446145093081,4.388968924786511
6.388010304084161,6.053908148635217,0.22874677879897656,0.5000000083957551,0.22625089325720285,4.460325905801661
6.422629042111771,6.062539353928223,0.2443402340870138,0.5000000083536215,0.21852739656581652,4.531682886816812
6.457113733426346,6.071691446156048,0.2594155226974768,0.5000000083092201,0.21126578501495522,4.603039867831963
6.491461245730756,6.08134562273764,0.2740039107980252,0.50000000826247,0.20444233896962338,4.674396848847113
6.525668908497958,6.091484189437377,0.28813507034779295,0.5000000082132825,0.19803471711853143,4.745753829862264
6.559734444783544,6.102090506613088,0.3018371720585954,0.5000000081615601,0.19202188091299954,4.8171108108774146
6.593655910523409,6.113148937253947,0.3151369731531493,0.5000000081071965,0.18638402165206708,4.888467791892565
6.6274316405078215,6.124644796939447,0.32805990012532105,0.5000000080500768,0.1811024904406745,4.959824772907716
6.661060200306128,6.13656430579992,0.3406301267179814,0.5000000079900775,0.1761597311689997,5.0311817539228665
6.694540343491671,6.14889454251857,0.3528706473401022,0.500000007927066,0.17153921659776983,5.102538734938017
6.727870973584681,6.161623400382821,0.3648033461471841,0.5000000078609004,0.16722538758398872,5.173895715953168
6.761051110192395,6.1747395453677285,0.3764490620087284,0.5000000077914298,0.16320359544179291,5.245252696968318
6.7940798588810045,6.1882323762147005,0.3878276495838827,0.500000007718494,0.15946004740220693,5.316609677983469
6.826956384363809,6.20209198645413,0.39895803672210794,0.5000000076419231,0.15598175511183737,5.38796665899862
6.859679886634529,6.216309128309628,0.40985827840016736,0.5000000075615381,0.15275648609272133,5.45932364001377
6.892249579714668,6.230875178413789,0.42054560740025654,0.5000000074771503,0.1497727180725323,5.530680621028921
6.92466467271957,6.245782105260191,0.4310364819269655,0.5000000073885622,0.14701959608523096,5.602037602044072
6.956924352979663,6.261022438313092,0.441346630353208,0.5000000072955672,0.14448689223628197,5.673394583059222
6.989027770981926,6.27658923869473,0.45149109327745224,0.5000000071979505,0.14216496802310624,5.744751564074372
7.020974026921918,6.292476071369768,0.461484263066682,0.5000000070954895,0.1400447390999908,5.816108545089524
7.052762158679384,6.308676978747149,0.4713399210516208,0.500000006987955,0.1381176423768019,5.887465526104673
7.08439113105055,6.325186455621053,0.48107127253295373,0.5000000068751126,0.13637560534219836,5.958822507119825
7.115859826088106,6.341999425374684,0.49069097974964315,0.5000000067567242,0.13481101750432783,6.030179488134975
7.147167034415799,6.3591112173731075,0.5002111929530134,0.5000000066325502,0.13341670384498008,6.101536469150126
7.178311447398691,6.376517545474088,0.5096435797231045,0.5000000065023524,0.13218590018667464,6.172893450165276
7.209291650062634,6.394214487588876,0.5189993526569006,0.5000000063658976,0.13111223037602446,6.244250431180427
7.240106114667654,6.412198466227968,0.5282892955514302,0.5000000062229614,0.13018968519081894,6.315607412195577
7.270753194849758,6.430466229970012,0.5375237881984387,0.5000000060733336,0.12941260288251025,6.386964393210729
7.3012311202543785,6.4490148357951655,0.5467128299013322,0.5000000059168244,0.1287756512700906,6.4583213742258785
7.331537991592342,6.467841632227321,0.5558660618194108,0.5000000057532716,0.12827381130565357,6.52967835524103
7.361671776056047,6.486944243232613,0.5649927882390204,0.5000000055825499,0.12790236203619443,6.60103533625618
7.39163030303945,6.506320552824561,0.5741019968661715,0.5000000054045797,0.12765686689038888,6.672392317271331
7.421411260110749,6.525968690328979,0.5832023782303754,0.5000000052193404,0.12753316122317027,6.743749298286481
7.451012189191182,6.545887016264414,0.5923023442849414,0.5000000050268825,0.1275273410548861,6.815106279301633
7.480430482897378,6.566074108796403,0.6014100462847383,0.5000000048273432,0.12763575294564344,6.886463260316782
7.509663381008155,6.586528750726127,0.6105333920184467,0.5000000046209626,0.12785498494914457,6.957820241331934
7.53870796701968,6.607249916976208,0.6196800624686158,0.5000000044081019,0.128181858593865,7.029177222347084
7.567561164755457,6.628236762538376,0.6288575279693489,0.5000000041892623,0.12861342184283994,7.100534203362235
7.5962197349998055,6.649488610849487,0.6380730639282085,0.5000000039651045,0.12914694298660012,7.171891184377385
7.624680272125358,6.671004942564014,0.6473337661759073,0.5000000037364684,0.12977990542694887,7.2432481653925365
7.652939200686636,6.69278538469248,0.6566465660045497,0.5000000035043911,0.13051000331229198,7.314605146407686
7.6809927719530116,6.714829700076551,0.666018244952592,0.5000000032701232,0.13133513798814592,7.385962127422838
7.708837060355396,6.7371377771724905,0.6754554493922943,0.5000000030351404,0.13225341522924802,7.4573191084379875
7.736467959821755,6.75970962011546,0.6849647049732345,0.5000000028011498,0.13326314322240046,7.528676089453139
7.763881179977136,6.782545339037758,0.6945524309734378,0.5000000025700885,0.13436283127179513,7.600033070468289
7.791072242184284,6.805645140614437,0.7042249546078422,0.5000000023441158,0.13555118920110576,7.67139005148344
7.818036475401125,6.829009318809913,0.7139885253421582,0.5000000021255664,0.13682712742910105,7.74274703249859
7.84476901183151,6.852638245799063,0.7238493292586985,0.5000000019170647,0.13818975769794303,7.814104013513742
7.871264782345462,6.87653236303599,0.7338135035194321,0.5000000017205737,0.13963839443568957,7.885460994528891
7.897518511645376,6.900692172443376,0.7438871509703624,0.5000000015427211,0.14117255673683002,7.956817975544043
7.923524713152069,6.925118227692446,0.7540763549303424,0.5000000013626158,0.1427919709469872,8.028174956559193
7.949277683597698,6.9498111255551445,0.7643871942065974,0.5000000013221146,0.144496573839997,8.099531937574344
7.974771497232132,6.974771497232132,0.7748257583786123,0.5000000005855495,0.14628651637880533,8.170888918589494
8.012500000079028,7.012500000079028,0.7853981633974481,0.5000000019988026,-5.102717629903286e-15,8.206244257721252
8.025000000234765,7.025000000234766,0.7853981633974481,0.5000000051228016,3.747693322093071e-16,8.24159959685301
8.037500000376847,7.0375000003768475,0.7853981633974482,0.5000000045666428,3.6567477531351276e-16,8.276954935984769
8.050000000518603,7.050000000518604,0.7853981633974482,0.50000000455345,3.565211119719403e-16,8.312310275116527
8.06250000065758,7.062500000657581,0.7853981633974482,0.5000000044403277,3.4692403430520424e-16,8.347665614248285
8.075000000794143,7.075000000794143,0.7853981633974482,0.5000000043419625,3.37709453362696e-16,8.383020953380043
